Sample,Family ID,Population,Population Description,Gender,Relationship,Unexpected Parent/Child ,Non Paternity,Siblings,Grandparents,Avuncular,Half Siblings,Unknown Second Order,Third Order,Other Comments
NA18740,NA18740,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18745,NA18745,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18747,NA18747,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18748,NA18748,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18749,NA18749,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18757,NA18757,CHB,"Han Chinese in Bejing, China",male,,,,,,,,,,
NA18791,NA18791,CHB,"Han Chinese in Bejing, China",male,unrel,,,,,,,,,
NA18853,Y018,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA18856,Y023,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA18858,Y012,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA18861,Y024,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA18864,Y026,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA18865,Y026,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA18867,Y007,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA18868,Y007,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA18870,Y017,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA18871,Y017,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA18873,Y019,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA18874,Y019,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA18876,Y020,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA18877,Y020,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA18878,Y021,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA18879,Y021,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA18881,Y022,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA18907,Y025,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA18908,Y025a,YRI,"Yoruba in Ibadan, Nigeria",male,not father,,NA19252,,,,,,,
NA18909,Y027,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA18910,Y027,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA18912,Y028,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA18915,Y029,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA18916,Y030,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA18917,Y030,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA18923,Y033,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA18924,Y033,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA18933,Y036,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA18934,Y036,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA18939,NA18939,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA18940,NA18940,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA18941,NA18941,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA18942,NA18942,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA18943,NA18943,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA18944,NA18944,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA18945,NA18945,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA18946,NA18946,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA18947,NA18947,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA18948,NA18948,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA18949,NA18949,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA18950,NA18950,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA18951,NA18951,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA18952,NA18952,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA18953,NA18953,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA18954,NA18954,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA18955,NA18955,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA18956,NA18956,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA18957,NA18957,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA18959,NA18959,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA18960,NA18960,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA18961,NA18961,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA18962,NA18962,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA18963,NA18963,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA18964,NA18964,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA18965,NA18965,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA18966,NA18966,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA18967,NA18967,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA18968,NA18968,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA18969,NA18969,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA18970,NA18970,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA18971,NA18971,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA18972,NA18972,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA18973,NA18973,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA18974,NA18974,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA18975,NA18975,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA18976,NA18976,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA18977,NA18977,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA18978,NA18978,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA18979,NA18979,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA18980,NA18980,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA18981,NA18981,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA18982,NA18982,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA18983,NA18983,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA18984,NA18984,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA18985,NA18985,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA18986,NA18986,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA18987,NA18987,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA18988,NA18988,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA18989,NA18989,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA18990,NA18990,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA18991,NA18991,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA18992,NA18992,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA18993,NA18993,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA18994,NA18994,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA18995,NA18995,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA18997,NA18997,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA18998,NA18998,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA18999,NA18999,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA19000,NA19000,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA19001,NA19001,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA19002,NA19002,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA19003,NA19003,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA19004,NA19004,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA19005,NA19005,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA19006,NA19006,JPT,"Japanese in Tokyo, Japan",male,unrel,,,,,,,,,
NA19007,NA19007,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA19009,NA19009,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA19010,NA19010,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA19011,NA19011,JPT,"Japanese in Tokyo, Japan",female,unrel,,,,,,,,,
NA19012,NA19012,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA19017,NA19017,LWK,"Luhya in Webuye, Kenya",female,unrel,,,,,,,,,
NA19019,NA19019,LWK,"Luhya in Webuye, Kenya",female,unrel,,,,,,,,,
NA19020,NA19020,LWK,"Luhya in Webuye, Kenya",male,,,,,,,,,,
NA19023,NA19023,LWK,"Luhya in Webuye, Kenya",female,unrel,,,,,,,,,
NA19024,NA19024,LWK,"Luhya in Webuye, Kenya",female,unrel,,,,,,,,,
NA19025,NA19025,LWK,"Luhya in Webuye, Kenya",male,unrel,,,,,,,,,
NA19026,NA19026,LWK,"Luhya in Webuye, Kenya",male,unrel,,,,,,,,,
NA19027,NA19027,LWK,"Luhya in Webuye, Kenya",male,,,,,,,,NA19311,,
NA19028,NA19028,LWK,"Luhya in Webuye, Kenya",male,,,,,,,,,,
NA19030,NA19030,LWK,"Luhya in Webuye, Kenya",female,unrel,,,,,,,,,
NA19031,NA19031,LWK,"Luhya in Webuye, Kenya",male,,,,,,,,,,
NA19035,NA19035,LWK,"Luhya in Webuye, Kenya",male,,,,,,,,,,
NA19036,NA19036,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19037,NA19037,LWK,"Luhya in Webuye, Kenya",female,unrel,,,,,,,,,
NA19038,NA19038,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19041,NA19041,LWK,"Luhya in Webuye, Kenya",male,,,,,,,,,,
NA19042,NA19042,LWK,"Luhya in Webuye, Kenya",female,unrel,,,,,,,,,
NA19043,NA19043,LWK,"Luhya in Webuye, Kenya",male,unrel,,,,,,,,,
NA19044,NA19044,LWK,"Luhya in Webuye, Kenya",male,,,,,,,,,,
NA19054,NA19054,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA19055,NA19055,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA19056,NA19056,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA19057,NA19057,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA19058,NA19058,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA19059,NA19059,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA19060,NA19060,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA19062,NA19062,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA19063,NA19063,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA19064,NA19064,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA19065,NA19065,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA19066,NA19066,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA19067,NA19067,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA19068,NA19068,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA19070,NA19070,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA19072,NA19072,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA19074,NA19074,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA19075,NA19075,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA19076,NA19076,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA19077,NA19077,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA19078,NA19078,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA19079,NA19079,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA19080,NA19080,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA19081,NA19081,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA19082,NA19082,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA19083,NA19083,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA19084,NA19084,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA19085,NA19085,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA19086,NA19086,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA19087,NA19087,JPT,"Japanese in Tokyo, Japan",female,,,,,,,,,,
NA19088,NA19088,JPT,"Japanese in Tokyo, Japan",male,,,,,,,,,,
NA19089,NA19089,JPT,"Japanese in Tokyo, Japan",male,unrel,,,,,,,,,
NA19090,NA19090,JPT,"Japanese in Tokyo, Japan",female,unrel,,,,,,,,,
NA19091,NA19091,JPT,"Japanese in Tokyo, Japan",male,unrel,,,,,,,,,
NA19092,Y040,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,NA19101 (possible first cous),,
NA19093,Y040,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA19095,Y041,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA19096,Y041,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA19098,Y105,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA19099,Y105,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA19102,Y042,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA19107,Y006,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA19108,Y006,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA19113,Y079,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA19114,Y079,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA19116,Y060,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA19117,Y100,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA19118,Y100,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA19119,Y060,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA19121,Y061,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA19129,Y077,YRI,"Yoruba in Ibadan, Nigeria",female,child,,,,,,,,,
NA19130,Y101,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,NA19192 (nephew),,,,
NA19131,Y101,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA19137,Y043,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA19138,Y043,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA19141,Y071,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA19143,Y074,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA19144,Y074,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA19146,Y075,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA19147,Y075,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA19149,Y073,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA19152,Y072,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA19153,Y072,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,NA19104,,,,,,
NA19159,Y056,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA19160,Y056,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA19171,Y047,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA19172,Y047,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA19175,Y044,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA19184,Y039,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,NA19166,,,,,,
NA19185,Y039,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA19189,Y111,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA19190,Y111,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA19197,Y035,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA19198,Y035,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA19200,Y045,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,NA19178,NA19178 (1st cous once removed),
NA19201,Y045,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA19204,Y048,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA19206,Y051,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA19207,Y051,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA19209,Y050,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA19210,Y050,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA19213,Y110,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,NA19254,,,,,,
NA19214,Y110,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA19222,Y058,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA19223,Y058,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA19225,Y057,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA19235,Y116,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA19236,Y116,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA19238,Y117,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA19239,Y117,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA19247,Y120,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA19248,Y120,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA19256,Y092,YRI,"Yoruba in Ibadan, Nigeria",male,father,,,,,,,,,
NA19257,Y092,YRI,"Yoruba in Ibadan, Nigeria",female,mother,,,,,,,,,
NA19307,NA19307,LWK,"Luhya in Webuye, Kenya",male,,,,,,,,,,
NA19308,NA19308,LWK,"Luhya in Webuye, Kenya",male,,,,,,,,,,
NA19309,NA19309,LWK,"Luhya in Webuye, Kenya",male,,,,,,,,,,
NA19310,NA19310,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19312,NA19312,LWK,"Luhya in Webuye, Kenya",male,,,,,,,,,,
NA19314,NA19314,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19315,NA19315,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19316,NA19316,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19317,NA19317,LWK,"Luhya in Webuye, Kenya",male,,,,,,,,,,
NA19318,NA19318,LWK,"Luhya in Webuye, Kenya",male,,,,,,,,,,
NA19319,NA19319,LWK,"Luhya in Webuye, Kenya",male,,,,,,,,,,
NA19320,NA19320,LWK,"Luhya in Webuye, Kenya",female,unrel,,,,,,,,,
NA19321,NA19321,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19323,NA19323,LWK,"Luhya in Webuye, Kenya",female,unrel,,,,,,,,,
NA19324,NA19324,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19327,NA19327,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19328,NA19328,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19331,LWK001,LWK,"Luhya in Webuye, Kenya",male,,NA19313,,,,,,,NA19334,
NA19332,NA19332,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19334,NA19334,LWK,"Luhya in Webuye, Kenya",male,,,,,,,,NA19313,NA19331,
NA19338,NA19338,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19346,NA19346,LWK,"Luhya in Webuye, Kenya",male,,,,,,,,,,
NA19347,NA19347,LWK,"Luhya in Webuye, Kenya",male,,,,NA19352,,,,,,
NA19350,NA19350,LWK,"Luhya in Webuye, Kenya",male,,,,,,,,,,
NA19351,NA19351,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19355,NA19355,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19359,NA19359,LWK,"Luhya in Webuye, Kenya",male,,,,,,,,,,
NA19360,NA19360,LWK,"Luhya in Webuye, Kenya",male,,,,,,,,,,
NA19371,NA19371,LWK,"Luhya in Webuye, Kenya",male,,,,,,,,,,
NA19372,NA19372,LWK,"Luhya in Webuye, Kenya",male,,,,,,,,,,
NA19374,NA19374,LWK,"Luhya in Webuye, Kenya",male,,,,NA19373,,,,,,
NA19375,NA19375,LWK,"Luhya in Webuye, Kenya",male,,,,,,,,,,
NA19376,NA19376,LWK,"Luhya in Webuye, Kenya",male,,,,,,,,,,
NA19377,NA19377,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19378,NA19378,LWK,"Luhya in Webuye, Kenya",female,unrel,,,,,,,,,
NA19379,NA19379,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19380,NA19380,LWK,"Luhya in Webuye, Kenya",male,,,,,,,NA19382,,,
NA19383,NA19383,LWK,"Luhya in Webuye, Kenya",male,,,,,,,,,,
NA19384,NA19384,LWK,"Luhya in Webuye, Kenya",male,,,,,,,,,NA19025,
NA19385,NA19385,LWK,"Luhya in Webuye, Kenya",male,,,,,,,,,,
NA19390,NA19390,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19391,NA19391,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19393,NA19393,LWK,"Luhya in Webuye, Kenya",male,,,,,,,,,,
NA19394,NA19394,LWK,"Luhya in Webuye, Kenya",male,,,,,,,,,,
NA19395,NA19395,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19397,NA19397,LWK,"Luhya in Webuye, Kenya",male,,,,NA19396,,,,,,
NA19398,NA19398,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19399,NA19399,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19401,NA19401,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19403,NA19403,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19404,NA19404,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19428,NA19428,LWK,"Luhya in Webuye, Kenya",male,,,,,,,,,,
NA19429,NA19429,LWK,"Luhya in Webuye, Kenya",male,,,,,,,,,,
NA19430,NA19430,LWK,"Luhya in Webuye, Kenya",male,,,,,,,,,"NA19037, NA19039",
NA19431,NA19431,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19434,LWK003,LWK,"Luhya in Webuye, Kenya",female,,,,NA19444,,,,NA19453,,
NA19435,NA19435,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19436,NA19436,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19437,NA19437,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19438,NA19438,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19439,NA19439,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19440,NA19440,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19443,NA19443,LWK,"Luhya in Webuye, Kenya",male,,,,NA19470,,NA19469 (niece/nephew),,,,
NA19445,LWK004,LWK,"Luhya in Webuye, Kenya",female,,NA19453,,,,,,,,
NA19446,NA19446,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19448,NA19448,LWK,"Luhya in Webuye, Kenya",male,,,,,,,,,,
NA19449,NA19449,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19451,NA19451,LWK,"Luhya in Webuye, Kenya",male,,,,,,,,,,
NA19452,NA19452,LWK,"Luhya in Webuye, Kenya",male,,,,,,,,,,
NA19454,NA19454,LWK,"Luhya in Webuye, Kenya",male,unrel,,,,,,,,,
NA19455,NA19455,LWK,"Luhya in Webuye, Kenya",male,,,,,,,,,,
NA19456,NA19456,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19457,NA19457,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19461,NA19461,LWK,"Luhya in Webuye, Kenya",male,,,,,,,,,,
NA19462,NA19462,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19463,NA19463,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19466,NA19466,LWK,"Luhya in Webuye, Kenya",male,,,,,,,,,,
NA19467,NA19467,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19468,NA19468,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19471,NA19471,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19472,NA19472,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19473,NA19473,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19474,NA19474,LWK,"Luhya in Webuye, Kenya",female,,,,,,,,,,
NA19475,NA19475,LWK,"Luhya in Webuye, Kenya",female,unrel,,,,,,,,,
NA19625,2357,ASW,African Ancestry in Southwest US,female,child,,,,,,,NA20414,,
NA19648,m001,MXL,"Mexican Ancestry in Los Angeles, California",female,mother,,,,,,,,,
NA19649,m001,MXL,"Mexican Ancestry in Los Angeles, California",male,father,,,,,,,,,
NA19651,m005,MXL,"Mexican Ancestry in Los Angeles, California",female,mother,,,,,,,,,
NA19652,m005,MXL,"Mexican Ancestry in Los Angeles, California",male,father,,,,,,,,,
NA19654,m006,MXL,"Mexican Ancestry in Los Angeles, California",female,mother,,,,,,,,,
NA19655,m006,MXL,"Mexican Ancestry in Los Angeles, California",male,father,,,,,,,,,
NA19657,m007,MXL,"Mexican Ancestry in Los Angeles, California",female,mother,,,,,,,NA19753,,
NA19658,m007,MXL,"Mexican Ancestry in Los Angeles, California",male,father,,,,,,,,,
NA19661,m008,MXL,"Mexican Ancestry in Los Angeles, California",male,father,NA19685,,,NA19686,,,,,
NA19663,m012,MXL,"Mexican Ancestry in Los Angeles, California",female,mother,,,,,,,,,
NA19664,m012,MXL,"Mexican Ancestry in Los Angeles, California",male,father,,,,,"NA19672, NA19660(aunt/uncle)",,,,
NA19669,m002,MXL,"Mexican Ancestry in Los Angeles, California",female,mother,,,,,,,,,
